충전_일시,충전소_ID,충전기_ID,시도_코드,시군구_코드,시도_명,시군구_명,충전소_명,위도,경도,충전_구분,충전_방식,시작_일시,종료_일시,시작_SOC,종료_SOC,SOC_충전_량,전력_사용량,충전_시간,전력_사용량_(경부하),전력_사용량_(중간부하),전력_사용량_(최대부하),비고,생산_일시
2023-03-28 16:17:04,KRPPKCS0018,KRPPKCP0135,11,545,서울특별시,금천구,**** *****,37,126,13,D,2023-03-28 16:13:06,2023-03-28 16:39:16,78,95,80,27,2612,0,0,27,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:04,KRPPKCS0012,KRPPKCP0090,41,171,경기도,안양시,******* *****,37,126,13,D,2023-03-28 16:09:35,2023-03-28 16:17:00,87,93,93,7,726,0,0,7,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:05,KRPPKCS0012,KRPPKCP0090,41,171,경기도,안양시,******* *****,37,126,13,D,2023-03-28 16:09:35,2023-03-28 16:17:00,87,93,93,7,726,0,0,7,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:05,KRPPKCS0063,KRPPKCP0454,48,250,경상남도,김해시,**** ***,35,128,13,D,2023-03-28 16:10:06,2023-03-28 16:22:17,86,100,95,15,1210,0,0,15,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:05,KRPPKCS0008,KRPPKCP0059,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-03-28 16:04:05,2023-03-28 16:30:14,61,99,83,37,2610,0,0,37,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:05,KRPPKCS0113,KRPPKCP0799,48,125,경상남도,창원시,**** ***,35,128,13,D,2023-03-28 16:04:06,2023-03-28 16:21:09,81,99,97,18,1707,0,0,18,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:06,KRPPKCS0075,KRPPKCP0606,11,260,서울특별시,중랑구,********,37,127,13,D,2023-03-28 15:51:09,2023-03-28 16:19:57,72,89,87,51,2850,0,0,51,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:06,KRPPKCS0005,KRPPKCP0031,41,590,경기도,화성시,**** *****,37,126,13,D,2023-03-28 15:51:09,2023-03-28 16:19:57,72,89,87,51,2850,0,0,51,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:06,KRPPKCS0040,KRPPKCP0923,48,330,경상남도,양산시,**** *****,35,129,13,D,2023-03-28 16:11:57,2023-03-28 16:41:07,79,100,83,49,0,0,0,49,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:07,KRPPKCS0023,KRPPKCP0167,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-03-28 16:17:07,2023-03-28 16:40:50,57,89,99,43,2347,0,0,43,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:07,KRPPKCS0016,KRPPKCP0887,41,370,경기도,오산시,**** **** *****,37,127,13,D,2023-03-28 16:08:08,2023-03-28 16:27:58,72,90,79,29,1950,0,0,29,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:07,KRPPKCS0067,KRPPKCP0508,41,480,경기도,파주시,**** *******,37,126,13,D,2023-03-28 16:12:08,2023-03-28 16:42:53,78,100,82,44,0,0,0,44,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:07,KRPPKCS0103,KRPPKCP0743,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-03-28 16:11:07,2023-03-28 16:42:50,77,94,80,57,0,0,0,57,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:07,KRPPKCS0074,KRPPKCP0593,11,620,서울특별시,관악구,**** *****,37,126,13,D,2023-03-28 16:15:11,2023-03-28 16:32:57,72,93,76,30,1750,0,0,30,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:07,KRPPKCS0088,KRPPKCP0658,41,360,경기도,남양주시,*******,37,127,13,D,2023-03-28 16:12:34,2023-03-28 16:30:49,82,95,83,21,1817,0,0,21,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:08,KRPPKCS0088,KRPPKCP0658,41,360,경기도,남양주시,*******,37,127,13,D,2023-03-28 16:12:28,2023-03-28 16:30:49,82,95,83,21,1820,0,0,21,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:08,KRPPKCS0102,KRPPKCP0740,28,158,인천광역시,연수구,***** ***,37,126,13,D,2023-03-28 15:58:08,2023-03-28 16:42:56,34,86,55,82,0,0,0,82,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:08,KRPPKCS0111,KRPPKCP0787,11,305,서울특별시,강북구,*******,37,127,13,D,2023-03-28 15:56:09,2023-03-28 16:23:52,54,96,87,44,2744,0,0,44,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:08,KRPPKCS0041,KRPPKCP0907,48,330,경상남도,양산시,**** *****,35,129,13,D,2023-03-28 15:29:38,2023-03-28 16:19:19,80,95,95,0,0,0,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:09,KRPPKCS0023,KRPPKCP0167,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-03-28 16:17:07,2023-03-28 16:40:50,57,89,57,43,2347,0,0,43,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:09,KRPPKCS0052,KRPPKCP0328,48,123,경상남도,창원시,***** *****,35,128,13,D,2023-03-28 16:16:10,2023-03-28 17:02:15,45,95,46,66,0,0,0,66,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:10,KRPPKCS0023,KRPPKCP0167,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-03-28 16:17:03,2023-03-28 16:40:50,57,89,57,44,2347,0,0,44,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:10,KRPPKCS0042,KRPPKCP0263,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-03-28 16:12:32,2023-03-28 16:35:23,75,92,79,30,2251,0,0,30,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:10,KRPPKCS0049,KRPPKCP0311,26,230,부산광역시,부산진구,**** *****,35,129,13,D,2023-03-28 16:12:11,2023-03-28 16:33:13,81,95,85,22,2103,0,0,22,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:11,KRPPKCS0042,KRPPKCP0267,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-03-28 15:59:11,2023-03-28 16:21:47,82,94,92,43,2234,0,0,43,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:11,KRPPKCS0074,KRPPKCP0598,11,620,서울특별시,관악구,**** *****,37,126,13,D,2023-03-28 16:06:15,2023-03-28 16:30:38,73,100,89,32,2425,0,0,32,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:11,KRPPKCS0008,KRPPKCP0057,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-03-28 16:14:12,2023-03-28 16:50:09,62,95,64,43,0,0,0,43,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:12,KRPPKCS0023,KRPPKCP0167,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-03-28 16:17:07,2023-03-28 16:40:50,57,89,57,43,2347,0,0,43,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:13,KRPPKCS0041,KRPPKCP0905,48,330,경상남도,양산시,**** *****,35,129,13,D,2023-03-28 16:04:50,2023-03-28 17:04:23,62,100,71,65,0,0,0,65,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:14,KRPPKCS0073,KRPPKCP0590,11,620,서울특별시,관악구,**** *****,37,126,13,D,2023-03-28 15:59:57,2023-03-28 16:17:10,85,100,100,21,1713,0,0,21,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:14,KRPPKCS0044,KRPPKCP0282,26,500,부산광역시,수영구,**** ***,35,129,13,D,2023-03-28 16:12:15,2023-03-28 16:32:20,75,89,78,41,2006,0,0,41,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:15,KRPPKCS0100,KRPPKCP0732,41,190,경기도,부천시,**** ***,37,126,13,D,2023-03-28 16:10:16,2023-03-28 16:36:47,73,98,80,40,2632,0,0,40,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:15,KRPPKCS0073,KRPPKCP0590,11,620,서울특별시,관악구,**** *****,37,126,13,D,2023-03-28 15:59:57,2023-03-28 16:17:10,85,100,100,21,1713,0,0,21,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-28 16:17:15,KRPPKCS0064,KRPPKCP0459,41,117,경기도,수원시,**** ***,37,127,13,D,2023-03-28 15:51:38,2023-03-28 16:17:12,54,70,100,34,2534,0,0,34,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
