충전_일시,충전소_ID,충전기_ID,시도_코드,시군구_코드,시도_명,시군구_명,충전소_명,위도,경도,충전_구분,충전_방식,시작_일시,종료_일시,시작_SOC,종료_SOC,SOC_충전_량,전력_사용량,충전_시간,전력_사용량_(경부하),전력_사용량_(중간부하),전력_사용량_(최대부하),비고,생산_일시
2023-03-26 20:56:11,KRPPKCS0064,KRPPKCP0477,41,117,경기도,수원시,**** ***,37,127,13,D,2023-03-26 19:58:09,2023-03-26 22:02:53,29,94,61,163,0,163,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:12,KRPPKCS0113,KRPPKCP0797,48,125,경상남도,창원시,**** ***,35,128,13,D,2023-03-26 20:49:13,2023-03-26 21:15:41,56,87,64,39,2629,39,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:12,KRPPKCS0040,KRPPKCP0851,48,330,경상남도,양산시,**** *****,35,129,13,D,2023-03-26 20:40:13,2023-03-26 21:36:13,44,100,50,75,0,75,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:13,KRPPKCS0020,KRPPKCP0154,41,210,경기도,광명시,**** *****,37,126,13,D,2023-03-26 20:43:13,2023-03-26 20:58:53,68,84,81,26,1543,26,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:13,KRPPKCS0008,KRPPKCP0058,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-03-26 20:34:13,2023-03-26 21:03:51,81,99,94,28,0,28,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:13,KRPPKCS0006,KRPPKCP0033,11,290,서울특별시,성북구,**** ***,37,126,13,D,2023-03-26 20:50:23,2023-03-26 21:17:47,76,95,81,44,2718,44,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:13,KRPPKCS0105,KRPPKCP0763,41,220,경기도,평택시,**** ******,37,127,13,D,2023-03-26 20:45:13,2023-03-26 21:20:26,76,94,80,63,0,63,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:13,KRPPKCS0040,KRPPKCP0923,48,330,경상남도,양산시,**** *****,35,129,13,D,2023-03-26 20:07:09,2023-03-26 21:08:43,59,100,93,111,0,111,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:14,KRPPKCS0034,KRPPKCP0216,44,133,충청남도,천안시,**** ***,36,127,13,D,2023-03-26 20:44:13,2023-03-26 21:31:52,65,95,70,83,0,83,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:14,KRPPKCS0090,KRPPKCP0666,41,450,경기도,하남시,*******,37,127,13,D,2023-03-26 20:10:13,2023-03-26 21:01:11,52,96,93,78,0,78,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:14,KRPPKCS0007,KRPPKCP0043,41,285,경기도,고양시,**** *****,37,126,13,D,2023-03-26 20:55:15,2023-03-26 21:10:52,89,100,91,24,1542,24,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:14,KRPPKCS0006,KRPPKCP0036,11,290,서울특별시,성북구,**** ***,37,126,13,D,2023-03-26 20:41:07,2023-03-26 21:00:52,82,95,92,21,1931,21,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:14,KRPPKCS0028,KRPPKCP0198,28,185,인천광역시,연수구,**** ******* ,37,126,13,D,2023-03-26 20:33:14,2023-03-26 21:02:34,82,100,96,27,0,27,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-26 20:56:14,KRPPKCS0006,KRPPKCP0881,11,290,서울특별시,성북구,**** ***,37,126,13,D,2023-03-26 20:45:13,2023-03-26 20:57:51,81,95,93,18,1246,18,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
