충전_일시,충전소_ID,충전기_ID,시도_코드,시군구_코드,시도_명,시군구_명,충전소_명,위도,경도,충전_구분,충전_방식,시작_일시,종료_일시,시작_SOC,종료_SOC,SOC_충전_량,전력_사용량,충전_시간,전력_사용량_(경부하),전력_사용량_(중간부하),전력_사용량_(최대부하),비고,생산_일시
2023-03-12 09:33:37,KRPPKCS0108,KRPPKCP0769,11,710,서울특별시,강서구,**** ***,37,126,13,D,2023-03-12 09:14:41,2023-03-12 09:38:36,84,95,92,36,2414,36,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:38,KRPPKCS0069,KRPPKCP0527,41,171,경기도,안양시,******* ******,37,126,13,D,2023-03-12 09:10:38,2023-03-12 09:35:36,85,100,98,25,2513,25,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:38,KRPPKCS0008,KRPPKCP0044,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-03-12 09:03:37,2023-03-12 09:47:01,73,99,91,48,0,48,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:38,KRPPKCS0008,KRPPKCP0062,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-03-12 08:54:37,2023-03-12 09:40:55,49,95,89,58,0,58,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:38,KRPPKCS0049,KRPPKCP0958,26,230,부산광역시,부산진구,**** *****,35,129,13,D,2023-03-12 09:24:39,2023-03-12 09:34:03,85,95,94,16,939,16,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:39,KRPPKCS0079,KRPPKCP0623,41,210,경기도,광명시,**** *****,37,126,13,D,2023-03-12 09:24:40,2023-03-12 09:39:53,84,97,93,21,1531,21,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:40,KRPPKCS0020,KRPPKCP0154,41,210,경기도,광명시,**** *****,37,126,13,D,2023-03-12 09:04:42,2023-03-12 09:35:16,72,89,88,54,0,54,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:41,KRPPKCS0044,KRPPKCP0281,26,500,부산광역시,수영구,**** ***,35,129,13,D,2023-03-12 09:26:42,2023-03-12 09:43:21,91,100,94,27,1649,27,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:42,KRPPKCS0048,KRPPKCP0305,26,260,부산광역시,동래구,**** ***,35,129,13,D,2023-03-12 09:21:42,2023-03-12 09:59:05,83,100,87,50,0,50,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:42,KRPPKCS0008,KRPPKCP0061,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-03-12 09:20:56,2023-03-12 10:06:45,73,95,73,37,0,37,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:42,KRPPKCS0096,KRPPKCP0709,28,260,인천광역시,서구,******** ***,37,126,13,D,2023-03-12 09:16:43,2023-03-12 10:23:05,63,100,71,116,0,116,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:43,KRPPKCS0028,KRPPKCP0196,28,185,인천광역시,연수구,**** ******* ,37,126,13,D,2023-03-12 09:03:42,2023-03-12 09:35:43,80,100,98,32,0,32,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:43,KRPPKCS0071,KRPPKCP0581,41,480,경기도,파주시,**** ***,37,126,13,D,2023-03-12 09:02:42,2023-03-12 09:36:34,67,98,96,45,0,45,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:45,KRPPKCS0065,KRPPKCP0486,41,570,경기도,김포시,**** *****,37,126,13,D,2023-03-12 09:09:45,2023-03-12 09:50:04,66,100,87,52,0,52,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:46,KRPPKCS0079,KRPPKCP0622,41,210,경기도,광명시,**** *****,37,126,13,D,2023-03-12 09:31:47,2023-03-12 09:52:25,88,97,89,33,2056,33,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:47,KRPPKCS0064,KRPPKCP0460,41,117,경기도,수원시,**** ***,37,127,13,D,2023-03-12 09:14:47,2023-03-12 09:36:41,74,94,92,27,2213,27,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:47,KRPPKCS0007,KRPPKCP0042,41,285,경기도,고양시,**** *****,37,126,13,D,2023-03-12 09:20:47,2023-03-12 09:46:07,85,100,92,28,2534,28,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:48,KRPPKCS0073,KRPPKCP0590,11,620,서울특별시,관악구,**** *****,37,126,13,D,2023-03-12 09:27:50,2023-03-12 09:45:11,77,100,88,14,1758,14,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:48,KRPPKCS0005,KRPPKCP0025,41,590,경기도,화성시,**** *****,37,126,13,D,2023-03-12 09:10:49,2023-03-12 09:38:24,80,95,92,50,2751,50,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:48,KRPPKCS0023,KRPPKCP0169,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-03-12 09:20:49,2023-03-12 09:52:06,61,100,79,59,0,59,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:48,KRPPKCS0075,KRPPKCP0600,11,260,서울특별시,중랑구,********,37,127,13,D,2023-03-12 09:10:49,2023-03-12 09:38:24,80,95,92,50,2751,50,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:49,KRPPKCS0034,KRPPKCP0212,44,133,충청남도,천안시,**** ***,36,127,13,D,2023-03-12 09:27:50,2023-03-12 09:47:36,74,95,81,27,2005,27,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:49,KRPPKCS0064,KRPPKCP0462,41,117,경기도,수원시,**** ***,37,127,13,D,2023-03-12 09:10:48,2023-03-12 09:40:03,65,94,89,38,0,38,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:50,KRPPKCS0001,KRPPKCP0002,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-03-12 09:23:51,2023-03-12 09:46:01,65,95,78,30,2223,30,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:50,KRPPKCS0045,KRPPKCP0285,26,710,부산광역시,기장군,**** *****,35,129,13,D,2023-03-12 09:04:23,2023-03-12 09:34:37,69,95,94,36,0,36,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:51,KRPPKCS0115,KRPPKCP0815,48,125,경상남도,창원시,**** ***,35,128,13,D,2023-03-12 09:14:51,2023-03-12 09:34:49,84,100,99,27,2014,27,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-12 09:33:51,KRPPKCS0022,KRPPKCP0165,41,570,경기도,김포시,**** *****,37,126,13,D,2023-03-12 09:02:50,2023-03-12 10:37:28,57,97,78,131,0,131,0,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
