충전_일시,충전소_ID,충전기_ID,시도_코드,시군구_코드,시도_명,시군구_명,충전소_명,위도,경도,충전_구분,충전_방식,시작_일시,종료_일시,시작_SOC,종료_SOC,SOC_충전_량,전력_사용량,충전_시간,전력_사용량_(경부하),전력_사용량_(중간부하),전력_사용량_(최대부하),비고,생산_일시
2023-03-24 08:05:49,KRPPKCS0051,KRPPKCP0323,48,123,경상남도,창원시,***** *****,35,128,13,D,2023-03-24 07:41:50,2023-03-24 08:08:45,64,96,94,34,2657,23,11,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:49,KRPPKCS0103,KRPPKCP0744,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-03-24 07:41:53,2023-03-24 08:09:52,88,100,99,41,2807,26,14,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:49,KRPPKCS0018,KRPPKCP0122,11,545,서울특별시,금천구,**** *****,37,126,13,D,2023-03-24 07:50:50,2023-03-24 08:16:45,80,99,95,21,2600,7,14,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:50,KRPPKCS0016,KRPPKCP0112,41,370,경기도,오산시,**** **** *****,37,127,13,D,2023-03-24 07:49:50,2023-03-24 08:09:58,70,86,81,28,2013,14,14,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:50,KRPPKCS0113,KRPPKCP0797,48,125,경상남도,창원시,**** ***,35,128,13,D,2023-03-24 07:47:50,2023-03-24 08:10:37,74,99,97,26,2247,14,12,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:50,KRPPKCS0081,KRPPKCP0631,28,710,인천광역시,강화군,**** **********,37,126,13,D,2023-03-24 07:50:50,2023-03-24 08:17:14,76,93,86,29,2628,10,18,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:51,KRPPKCS0008,KRPPKCP0051,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-03-24 07:46:50,2023-03-24 08:20:58,52,84,70,41,0,15,25,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:51,KRPPKCS0041,KRPPKCP0917,48,330,경상남도,양산시,**** *****,35,129,13,D,2023-03-24 07:49:51,2023-03-24 08:19:10,78,97,90,34,0,12,22,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:51,KRPPKCS0051,KRPPKCP0325,48,123,경상남도,창원시,***** *****,35,128,13,D,2023-03-24 07:53:52,2023-03-24 08:17:57,81,94,90,34,2406,8,25,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:51,KRPPKCS0006,KRPPKCP0875,11,290,서울특별시,성북구,**** ***,37,126,13,D,2023-03-24 07:56:37,2023-03-24 08:05:52,85,95,95,14,903,4,9,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:53,KRPPKCS0006,KRPPKCP0875,11,290,서울특별시,성북구,**** ***,37,126,13,D,2023-03-24 07:56:37,2023-03-24 08:05:52,85,95,95,14,903,4,9,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:53,KRPPKCS0100,KRPPKCP0726,41,190,경기도,부천시,**** ***,37,126,13,D,2023-03-24 07:54:45,2023-03-24 08:05:38,86,92,92,11,1058,5,5,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:54,KRPPKCS0100,KRPPKCP0726,41,190,경기도,부천시,**** ***,37,126,13,D,2023-03-24 07:54:45,2023-03-24 08:05:38,86,92,92,11,1058,5,5,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:54,KRPPKCS0068,KRPPKCP0518,41,173,경기도,안양시,******* *****,37,126,13,D,2023-03-24 07:48:54,2023-03-24 08:20:57,75,100,89,40,0,14,26,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:54,KRPPKCS0113,KRPPKCP0799,48,125,경상남도,창원시,**** ***,35,128,13,D,2023-03-24 07:49:54,2023-03-24 08:12:54,78,95,90,25,2301,11,14,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:55,KRPPKCS0103,KRPPKCP0744,11,500,서울특별시,강서구,**** ***,37,126,13,D,2023-03-24 07:45:55,2023-03-24 08:11:00,74,91,87,43,2508,24,18,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:55,KRPPKCS0047,KRPPKCP0301,26,200,부산광역시,영도구,**** ***,35,129,13,D,2023-03-24 07:45:54,2023-03-24 08:05:54,88,99,99,33,1959,23,9,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:56,KRPPKCS0001,KRPPKCP0008,41,117,경기도,수원시,**** ***** *** ***,37,127,13,D,2023-03-24 07:53:57,2023-03-24 08:15:43,69,95,83,30,2150,8,21,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:56,KRPPKCS0071,KRPPKCP0580,41,480,경기도,파주시,**** ***,37,126,13,D,2023-03-24 07:50:50,2023-03-24 08:27:55,64,97,76,49,0,12,37,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:56,KRPPKCS0108,KRPPKCP0770,11,710,서울특별시,강서구,**** ***,37,126,13,D,2023-03-24 08:05:56,2023-03-24 08:09:51,81,83,80,4,358,0,4,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:56,KRPPKCS0047,KRPPKCP0301,26,200,부산광역시,영도구,**** ***,35,129,13,D,2023-03-24 07:45:54,2023-03-24 08:05:54,88,99,99,33,1959,23,9,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:56,KRPPKCS0042,KRPPKCP0261,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-03-24 07:47:22,2023-03-24 08:06:40,84,95,94,18,1918,12,6,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:56,KRPPKCS0008,KRPPKCP0062,41,190,경기도,부천시,**** *** *****,37,126,13,D,2023-03-24 07:57:57,2023-03-24 08:34:44,60,94,68,44,0,2,41,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:56,KRPPKCS0042,KRPPKCP0265,26,230,부산광역시,부산진구,**** ***,35,129,13,D,2023-03-24 07:59:51,2023-03-24 08:24:55,85,100,89,29,2506,0,29,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:57,KRPPKCS0108,KRPPKCP0770,11,710,서울특별시,강서구,**** ***,37,126,13,D,2023-03-24 08:05:56,2023-03-24 08:09:51,81,83,81,4,358,0,4,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:57,KRPPKCS0040,KRPPKCP0924,48,330,경상남도,양산시,**** *****,35,129,13,D,2023-03-24 07:39:07,2023-03-24 08:14:56,72,100,94,45,0,26,18,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:57,KRPPKCS0032,KRPPKCP0207,44,200,충청남도,아산시,**** *************,36,127,13,D,2023-03-24 07:45:39,2023-03-24 08:13:14,74,91,87,29,2722,15,14,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:57,KRPPKCS0071,KRPPKCP0580,41,480,경기도,파주시,**** ***,37,126,13,D,2023-03-24 07:51:10,2023-03-24 08:27:56,64,97,76,48,0,11,36,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:57,KRPPKCS0117,KRPPKCP0823,48,170,경상남도,진주시,****** ***,35,128,13,D,2023-03-24 07:42:56,2023-03-24 08:12:44,74,100,96,42,0,24,18,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
2023-03-24 08:05:58,KRPPKCS0020,KRPPKCP0153,41,210,경기도,광명시,**** *****,37,126,13,D,2023-03-24 08:05:58,2023-03-24 08:20:03,81,88,98,15,1409,0,15,0,2023-04-04 전기차 충전 이력,2023-04-04 16:21:54
