,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
KRPPKCP0001,11578.222222222223,4168.622222222222,648.5444444444445,278.3,184.82222222222222,205.54444444444445,1509.3777777777777,3650.088888888889,2945.9444444444443,2313.0333333333333,2385.6444444444446,1288.111111111111,3478.8333333333335,3117.733333333333,2797.288888888889,2161.5222222222224,1157.1,1677.8222222222223,862.0111111111111,1597.7666666666667,1298.0444444444445,1070.8222222222223,442.6777777777778,2087.988888888889
KRPPKCP0002,1895.8111111111111,8281.6,8749.18888888889,2743.4333333333334,360.27777777777777,354.35555555555555,321.1333333333333,2083.722222222222,2303.322222222222,2067.8555555555554,2434.133333333333,1310.3222222222223,2837.3777777777777,2670.188888888889,2428.9444444444443,1985.2777777777778,1045.3444444444444,1265.6,1281.9777777777779,1354.8555555555556,937.6222222222223,1254.4666666666667,3820.9,4039.6444444444446
KRPPKCP0003,7256.822222222222,14747.177777777777,11079.6,2485.3888888888887,404.8777777777778,74.02222222222223,303.96666666666664,3149.2,3342.633333333333,3030.711111111111,2930.1222222222223,1521.1888888888889,3430.4555555555557,2952.8444444444444,2916.488888888889,2306.9333333333334,1218.5111111111112,1241.0666666666666,1313.5666666666666,1265.5666666666666,1262.3777777777777,1640.8222222222223,1168.7111111111112,1357.8
KRPPKCP0004,8215.1,3309.322222222222,4205.122222222222,3046.177777777778,435.26666666666665,130.2888888888889,298.72222222222223,2810.266666666667,2045.5555555555557,1507.6222222222223,1822.1666666666667,942.4888888888889,2166.9777777777776,2056.4444444444443,2520.8777777777777,1861.9,829.3222222222222,674.2555555555556,1337.5,977.4111111111112,1219.5777777777778,1115.7222222222222,3250.1222222222223,7426.4
KRPPKCP0005,10163.111111111111,11039.455555555556,6823.533333333334,1895.5444444444445,179.46666666666667,25.955555555555556,100.81111111111112,3044.9,3313.677777777778,2671.7444444444445,2522.9222222222224,1353.9555555555555,3776.211111111111,2958.3,2823.2444444444445,2423.1666666666665,1133.5555555555557,663.8,1069.0,1125.8444444444444,1742.2111111111112,1593.1222222222223,654.0666666666667,2631.6222222222223
KRPPKCP0006,999.2555555555556,791.7555555555556,1419.588888888889,1187.8777777777777,284.9111111111111,9.333333333333334,33.477777777777774,254.63333333333333,147.27777777777777,188.72222222222223,361.31111111111113,0.0,423.3888888888889,0.0,294.6111111111111,153.56666666666666,48.233333333333334,0.0,198.57777777777778,124.56666666666666,102.25555555555556,94.33333333333333,146.42222222222222,1107.9777777777779
KRPPKCP0007,13696.9,13173.344444444445,5418.455555555555,985.5,125.65555555555555,58.077777777777776,77.21111111111111,3387.733333333333,3435.233333333333,2862.8777777777777,2731.011111111111,1038.4444444444443,4090.0333333333333,3173.188888888889,3775.5777777777776,2338.722222222222,946.4888888888889,319.77777777777777,227.2111111111111,512.2333333333333,1208.1888888888889,959.8777777777777,1741.1444444444444,4097.944444444444
KRPPKCP0008,7161.788888888889,10962.122222222222,8390.644444444444,2315.722222222222,259.6222222222222,179.2888888888889,49.522222222222226,1890.0111111111112,1816.111111111111,2006.4555555555555,1606.5777777777778,701.7111111111111,3023.0,2360.366666666667,2428.1222222222223,1768.411111111111,549.1666666666666,205.3111111111111,65.04444444444445,178.15555555555557,559.2888888888889,455.5888888888889,916.9888888888889,1588.7222222222222
KRPPKCP0009,7829.4,6533.344444444445,4786.622222222222,5561.388888888889,2630.8,63.36666666666667,0.0,554.9555555555555,369.6222222222222,281.47777777777776,267.3,144.11111111111111,441.0777777777778,630.4777777777778,1122.3777777777777,366.94444444444446,88.41111111111111,49.53333333333333,16.0,0.0,64.74444444444444,138.55555555555554,106.31111111111112,1284.111111111111
KRPPKCP0010,256.8222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.31111111111111,227.9111111111111
